objectid,name,average,avgweight,boardgamecategory,boardgamemechanic
174430,Gloomhaven,8.85292,3.8078,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Campaign / Battle Card Driven', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Legacy Game', 'Modular Board']"
161936,Pandemic Legacy  Season 1,8.62499,2.8301,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection']"
167791,Terraforming Mars,8.42299,3.2313,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Card Drafting', 'End Game Bonuses', 'Hand Management', 'Income', 'Set Collection', 'Take That']"
182028,Through the Ages  A New Story of Civilization,8.49419,4.385,"['Card Game', 'Civilization', 'Economic']","['Action Points', 'Auction/Bidding', 'Auction: Dutch', 'Card Drafting', 'Income']"
224517,Brass  Birmingham,8.62031,3.9122,"['Economic', 'Industry / Manufacturing', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks']"
233078,Twilight Imperium (Fourth Edition),8.68965,4.1966,"['Civilization', 'Economic', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration']","['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement']"
12333,Twilight Struggle,8.31307,3.5724,"['Modern Warfare', 'Political', 'Wargame']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management']"
187645,Star Wars  Rebellion,8.42602,3.6939,"['Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']"
220308,Gaia Project,8.50686,4.3131,"['Civilization', 'Economic', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Area Majority / Influence', 'Income', 'Modular Board', 'Network and Route Building', 'Turn Order: Pass Order', 'Variable Player Powers']"
169786,Scythe,8.26056,3.381,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']","['Area Majority / Influence', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Moving Multiple Units']"
193738,Great Western Trail,8.28272,3.6929,"['American West', 'Animals']","['Deck', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Variable Setup']"
115746,War of the Ring (Second Edition),8.44938,4.0746,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building']","['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling']"
162886,Spirit Island,8.32434,3.9388,"['Age of Reason', 'Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Territory Building']","['Area Majority / Influence', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection']"
120677,Terra Mystica,8.17255,3.9518,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['End Game Bonuses', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Turn Order: Pass Order', 'Variable Player Powers']"
84876,The Castles of Burgundy,8.12741,3.0014,"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'Hexagon Grid', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based']"
173346,7 Wonders Duel,8.10825,2.2202,"['Ancient', 'Card Game', 'City Building', 'Civilization']","['Card Drafting', 'Drafting', 'Set Collection', 'Sudden Death Ending', 'Tug of War']"
180263,The 7th Continent,8.36074,2.8606,"['Adventure', 'Card Game', 'Exploration', 'Science Fiction']","['Cooperative Game', 'Grid Movement', 'Hand Management', 'Map Addition', 'Modular Board', 'Scenario / Mission / Campaign Game']"
124361,Concordia,8.11021,3.0568,"['Ancient', 'Economic', 'Nautical']","['Action Retrieval', 'Advantage Token', 'Card Drafting', 'Command Cards', 'Deck', 'Point to Point Movement']"
28720,Brass  Lancashire,8.14857,3.8637,"['Economic', 'Industry / Manufacturing', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Network and Route Building']"
183394,Viticulture Essential Edition,8.1167,2.9369,"['Economic', 'Farming']","['Contracts', 'Hand Management', 'Turn Order: Auction', 'Worker Placement', 'Worker Placement']"
205637,Arkham Horror  The Card Game,8.19296,3.3387,"['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']","['Action Points', 'Cooperative Game', 'Hand Management', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']"
3076,Puerto Rico,8.02082,3.285,"['City Building', 'Economic', 'Farming']","['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive']"
177736,A Feast for Odin,8.18223,3.8462,"['Economic', 'Industry / Manufacturing', 'Medieval', 'Puzzle']","['Automatic Resource Growth', 'Dice Rolling', 'Income', 'Push Your Luck', 'Tile Placement', 'Turn Order: Pass Order']"
96848,Mage Knight Board Game,8.10013,4.2849,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Card Drafting', 'Cooperative Game', 'Deck', 'Dice Rolling', 'Grid Movement', 'Hand Management']"
164928,Orl\u00eans,8.08174,3.0637,"['Medieval', 'Religious', 'Travel']","['Deck', 'Point to Point Movement', 'Turn Order: Progressive', 'Worker Placement']"
102794,Caverna  The Cave Farmers,8.0456,3.7852,"['Animals', 'Economic', 'Fantasy', 'Farming']","['Automatic Resource Growth', 'Increase Value of Unchosen Resources', 'Tile Placement', 'Worker Placement']"
266192,Wingspan,8.10343,2.3693,"['Animals', 'Card Game', 'Economic', 'Educational']","['Card Drafting', 'Dice Rolling', 'Drafting', 'Hand Management', 'Set Collection', 'Solo / Solitaire Game']"
175914,Food Chain Magnate,8.17751,4.1971,"['Economic', 'Industry / Manufacturing']","['Card Drafting', 'Deck', 'Income', 'Market', 'Modular Board', 'Network and Route Building']"
31260,Agricola,7.97387,3.6372,"['Animals', 'Economic', 'Farming']","['Action Drafting', 'Automatic Resource Growth', 'Card Drafting', 'Enclosure', 'Hand Management', 'Increase Value of Unchosen Resources']"
205059,Mansions of Madness  Second Edition,8.11713,2.6719,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Role Playing']"
170216,Blood Rage,8.0064,2.8692,"['Fantasy', 'Fighting', 'Miniatures', 'Mythology']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Card Drafting', 'Hand Management', 'Memory']"
55690,Kingdom Death  Monster,8.73827,4.2169,"['Adventure', 'Fantasy', 'Horror', 'Mature / Adult', 'Miniatures', 'Mythology']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Role Playing', 'Solo / Solitaire Game', 'Storytelling']"
221107,Pandemic Legacy  Season 2,8.19898,3.268,"['Environmental', 'Exploration', 'Medical']","['Cooperative Game', 'Hand Management', 'Legacy Game', 'Pick-up and Deliver', 'Point to Point Movement', 'Set Collection']"
2651,Power Grid (Recharged Version),7.87953,3.2749,"['Economic', 'Industry / Manufacturing']","['Auction: Turn Order Until Pass', 'Catch the Leader', 'Market', 'Network and Route Building', 'Turn Order: Stat-Based']"
209010,Mechs vs. Minions,8.0927,2.413,"['Fantasy', 'Fighting', 'Miniatures', 'Video Game Theme']","['Action Queue', 'Card Drafting', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Role Playing']"
